subject,starttime,endtime,target,cohort
30,0,168,0,0
30,172,340,0,0
30,344,520,0,0
30,524,680,0,0
30,684,1164,0,0
30,1168,2236,0,0
30,2240,3124,0,0
30,0,28,0,0
30,32,336,0,0
30,340,688,0,0
30,692,1028,0,0
30,1032,1272,0,0
30,1276,2104,0,0
30,2108,2496,0,0
30,2500,3420,1,0
30,0,180,0,0
30,184,560,0,0
30,564,2156,0,0
30,2160,2600,1,0
30,2604,2964,1,0
30,0,284,0,0
30,288,2120,0,0
30,2124,2300,0,0
30,2304,2356,0,0
30,2360,3208,1,0
30,0,288,0,0
30,292,2104,0,0
30,2108,2256,0,0
30,2260,2660,1,0
30,2664,2852,0,0
30,2856,3236,1,0
30,3240,3432,0,0
30,3436,3620,0,0
30,3624,4264,1,0
30,0,384,0,0
30,388,2036,0,0
30,2040,2212,0,0
30,2216,2444,0,0
30,2448,2736,0,0
30,2740,2940,1,0
30,2944,3512,1,0
30,0,304,0,0
30,308,1164,0,0
30,1168,1828,0,0
30,1832,2316,0,0
30,2320,2500,0,1
30,2504,3068,1,0
30,3072,3200,0,0
30,0,296,0,0
30,300,744,0,0
30,748,920,0,0
30,924,1140,0,0
30,1144,1544,0,0
30,1548,2456,0,0
30,2460,2704,0,1
30,2708,2968,0,0
30,2972,3176,1,0
30,3180,3616,1,0
30,3620,4060,1,0
30,0,284,0,0
30,288,1700,0,0
30,1704,2292,0,1
30,2296,2428,0,1
30,2432,2840,1,0
30,2844,3160,1,0
30,0,296,0,0
30,300,1548,0,0
30,1552,1836,0,1
30,1840,2052,1,0
30,2056,2224,0,1
30,2228,2580,1,0
30,2584,3120,1,0
30,3124,3548,1,0
30,0,300,0,0
30,304,2332,0,0
30,2336,3248,1,0
30,0,184,0,0
30,188,580,0,0
30,584,1560,0,0
30,1564,1856,0,0
30,1860,2688,1,0
30,0,52,0,0
30,56,348,0,0
30,352,1736,0,0
30,1740,1940,0,0
30,1944,1984,0,1
30,1988,2188,0,0
30,2192,2392,0,1
30,2396,2572,0,0
30,2576,3060,1,0
30,0,1476,0,0
30,1480,1844,0,0
30,1848,2068,0,0
30,2072,2220,0,0
30,2224,2404,0,1
30,2408,2672,1,0
30,2676,2964,0,1
30,2968,3496,1,0
30,0,1920,0,0
30,1924,2112,0,0
30,2116,2244,0,0
30,2248,2464,1,0
30,2468,2928,1,0
30,0,292,0,0
30,296,1692,0,0
30,1696,1920,0,0
30,1924,2208,1,0
30,2212,2488,0,0
30,2492,3184,1,0
30,0,440,0,0
30,444,2068,0,0
30,2072,2292,0,0
30,2296,2472,0,0
30,2476,2608,1,0
30,2612,2976,1,0
30,2980,3160,1,0
30,3164,3408,1,0
30,0,100,0,0
30,104,332,0,0
30,336,2152,0,0
30,2156,2428,0,0
30,2432,2604,1,0
30,2608,2780,0,0
30,2784,3120,0,0
30,3124,3340,1,0
30,0,280,0,0
30,284,2064,0,0
30,2068,2248,1,0
30,2252,3084,1,0
30,0,300,0,0
30,304,420,0,0
30,424,636,0,0
30,640,1088,0,0
30,1092,1344,0,0
30,1348,1880,0,0
30,1884,2188,0,0
30,2192,2440,0,0
30,2444,2720,1,0
30,2724,3144,1,0
30,0,40,0,0
30,44,2180,0,0
30,2184,2344,0,0
30,2348,2708,1,0
30,2712,4276,0,0
30,4280,4772,1,0
30,4776,5044,1,0
30,0,96,0,0
30,100,660,0,0
30,664,756,0,0
30,760,1520,0,0
30,1524,2412,0,0
30,2416,2572,0,0
30,2576,3256,1,0
30,3260,3424,1,0
30,0,324,0,0
30,328,1600,0,0
30,1604,2000,0,0
30,2004,2796,1,0
30,0,188,0,0
30,192,2120,0,0
30,2124,2996,1,0
30,0,168,0,0
30,172,448,0,0
30,452,1196,0,0
30,1200,1420,0,0
30,1424,2152,0,0
30,2156,2364,0,0
30,2368,2588,1,0
30,2592,3208,1,0
30,0,300,0,0
30,304,2136,0,0
30,2140,2364,0,0
30,2368,2580,0,0
30,2584,2776,1,0
30,2780,3176,1,0
30,0,308,0,0
30,312,2648,0,0
30,2652,2880,0,0
30,2884,3124,1,0
30,3128,3332,1,0
30,3336,3528,0,0
30,3532,3784,0,0
30,3788,3912,0,0
30,3916,4996,1,0
30,5000,5164,0,0
30,0,72,0,0
30,76,304,0,0
30,308,1436,0,0
30,1440,1748,0,0
30,1752,1992,0,0
30,1996,2168,0,0
30,2172,2388,1,0
30,2392,2780,1,0
30,0,2192,0,0
30,2196,2452,0,0
30,2456,2668,1,0
30,2672,3060,1,0
30,3064,3180,1,0
30,3184,3560,0,0
30,3564,3864,0,1
30,3868,4044,0,0
30,4048,4384,1,0
30,0,84,0,0
30,88,320,0,0
30,324,1440,0,0
30,1444,1808,0,0
30,1812,1972,0,0
30,1976,2216,1,0
30,2220,2344,0,0
30,2348,2692,1,0
30,2696,3052,1,0
30,0,2028,0,0
30,2032,2204,0,0
30,2208,2400,0,0
30,2404,2672,1,0
30,2676,2900,0,0
30,2904,3720,1,0
30,0,280,0,0
30,284,344,0,0
30,348,1516,0,0
30,1520,1744,0,0
30,1748,2024,0,1
30,2028,2156,0,0
30,2160,2872,1,0
30,0,296,0,0
30,300,2104,0,0
30,2108,2236,0,0
30,2240,2564,1,0
30,2568,3248,1,0
30,0,144,0,0
30,148,356,0,0
30,360,956,0,0
30,960,1816,0,0
30,1820,2032,0,0
30,2036,2224,0,1
30,2228,2400,1,0
30,2404,2680,1,0
30,2684,3308,1,0
30,0,288,0,0
30,292,1668,0,0
30,1672,1884,0,0
30,1888,2084,0,0
30,2088,2292,0,0
30,2296,2996,1,0
30,3000,3096,0,0
30,0,288,0,0
30,292,2676,0,0
30,2680,2908,0,1
